,MBF,bestFitness,nIter,pm,pc,popSize
43,378.7464711938051,284.380862862478,343,0.5,0.9,10
44,335.4615896057858,328.6356357811716,2999,0.5,0.9,10
45,360.80696276565806,357.13915964800987,2999,0.5,0.9,10
46,340.90540498079434,284.38086286247795,372,0.5,0.9,10
47,329.26059572466266,325.98208657111263,2999,0.5,0.9,10
48,329.819243829696,325.98208657111263,2999,0.5,0.9,10
49,319.282659696644,315.0341068378419,2999,0.5,0.9,10
50,318.9393867576347,315.034106837842,2999,0.7,0.9,10
51,327.7784856647243,323.21971021592503,2999,0.7,0.9,10
52,309.8904260833149,301.3581943139576,2999,0.7,0.9,10
53,354.8777221872262,284.38086286247795,270,0.7,0.9,10
54,319.16820846398207,315.03410683784193,2999,0.7,0.9,10
55,360.9628897230299,284.38086286247795,526,0.7,0.9,10
56,362.0211855782266,284.380862862478,192,0.7,0.9,10
57,353.71731928974134,284.380862862478,462,0.7,0.9,10
58,401.62574889682463,284.38086286247807,119,0.7,0.9,10
59,374.99312375993287,284.380862862478,178,0.7,0.9,10
60,323.05204798884967,315.03410683784193,2999,0.7,0.9,10
61,330.55829544066427,315.0341068378418,2999,0.7,0.9,10
62,341.3414658651547,337.9141650937047,2999,0.7,0.9,10
63,324.96091558133384,319.01548898315707,2999,0.7,0.9,10
64,326.006393427465,319.77916767621053,2999,0.7,0.9,10
65,363.3547967524788,292.5055028535421,2141,0.7,0.9,10
66,332.28099979388384,328.63563578117163,2999,0.7,0.9,10
67,335.4732369015377,321.58491380220966,2999,0.7,0.9,10
68,359.8117751835257,289.40893394811565,190,0.7,0.9,10
69,348.71431295764853,284.38086286247795,282,0.7,0.9,10
70,339.24154968797586,336.45508699514465,2999,0.7,0.9,10
71,313.12275505333605,301.35819431395754,2999,0.7,0.9,10
72,323.9972785684872,315.0341068378419,2999,0.7,0.9,10
73,321.359924659564,301.3581943139576,2999,0.7,0.9,10
74,334.1805933066655,329.18810602571165,2999,0.7,0.9,10
75,319.11338203263654,315.03410683784193,2999,0.7,0.9,10
76,332.5798207322054,324.68460517507395,2999,0.7,0.9,10
77,320.6090772130741,315.2499268623601,2999,0.7,0.9,10
78,368.03064436820625,292.5055028535422,422,0.7,0.9,10
79,369.64075393824186,358.0182581906838,2999,0.7,0.9,10
80,346.54253253032186,292.5055028535422,532,0.7,0.9,10
81,370.32256147252855,284.380862862478,142,0.7,0.9,10
82,317.425615512114,301.3581943139576,2999,0.7,0.9,10
83,318.3471017610921,314.9990862932725,2999,0.7,0.9,10
84,318.8908704193584,315.2499268623602,2999,0.7,0.9,10
85,305.3357468802281,301.3581943139576,2999,0.7,0.9,10
86,355.7652385537111,349.26636415787624,2999,0.7,0.9,10
87,410.850906625282,284.380862862478,133,0.7,0.9,10
88,369.6118169436201,284.38086286247795,728,0.7,0.9,10
89,334.727623757122,315.034106837842,2999,0.7,0.9,10
90,378.5552303980182,284.380862862478,155,0.7,0.9,10
91,310.992488787979,301.35819431395754,2999,0.7,0.9,10
92,342.230965756034,284.380862862478,437,0.7,0.9,10
93,329.5504825894533,314.9990862932725,2999,0.7,0.9,10
94,326.5829693775473,321.58491380220966,2999,0.7,0.9,10
95,348.2944833614633,326.8204216893489,2999,0.7,0.9,10
96,324.1742514956725,321.58491380220966,2999,0.7,0.9,10
97,336.0601248328911,314.9990862932725,2999,0.7,0.9,10
98,329.75796335264073,325.98208657111263,2999,0.7,0.9,10
99,329.74742934741056,314.9990862932725,2999,0.7,0.9,10
100,319.8439645061168,301.3581943139576,2999,0.9,0.9,10
101,382.51223722197113,380.7549875635524,2999,0.9,0.9,10
102,397.2490096691994,284.380862862478,201,0.9,0.9,10
103,350.56565762157675,327.3117492996821,2999,0.9,0.9,10
104,327.12739782851554,321.58491380220966,2999,0.9,0.9,10
